Flask,Red.Pop,White.Pop,Generation,Arabinose,R.0,W.0,R.3,W.3,Person,Day.0.Date,Replicate
11,REL 10948,Ara + 2,50000,Positive,30,45,49,71,1,1/22/15,K
12,REL 10948,Ara + 3,50000,Positive,88,25,18,43,1,1/22/15,K
13,REL 10948,Ara + 4,50000,Positive,95,58,82,74,1,1/22/15,K
14,REL 10948,Ara + 5,50000,Positive,96,56,70,59,1,1/22/15,K
15,Ara - 1,REL 11648,50000,Negative,16,89,83,36,1,1/22/15,K
16,Ara - 4,REL 11648,50000,Negative,51,90,94,58,1,1/22/15,K
17,Ara - 5,REL 11648,50000,Negative,64,79,87,72,1,1/22/15,K
18,Ara - 6,REL 11648,50000,Negative,84,86,126,46,1,1/22/15,K
19,REL 10948,Ara + 1,60000,Positive,96,84,123,63,1,1/22/15,K
20,REL 10948,Ara + 2,60000,Positive,53,59,29,88,1,1/22/15,K
21,REL 10948,Ara + 3,60000,Positive,81,78,22,69,1,1/22/15,K
22,REL 10948,Ara + 4,60000,Positive,58,84,48,84,1,1/22/15,K
23,REL 10948,Ara + 5,60000,Positive,71,54,37,46,1,1/22/15,K
24,Ara - 1,REL 11648,60000,Negative,59,102,76,30,1,1/22/15,K
25,Ara - 4,REL 11648,60000,Negative,51,88,84,19,1,1/22/15,K
26,Ara - 5,REL 11648,60000,Negative,59,78,84,64,1,1/22/15,K
27,Ara - 6,REL 11648,60000,Negative,69,88,115,54,1,1/22/15,K
1,REL 10948,Ara + 1,40000,Positive,79,89,92,65,1,1/22/15,L
2,REL 10948,Ara + 2,40000,Positive,78,19,61,66,1,1/22/15,L
3,REL 10948,Ara + 3,40000,Positive,61,38,34,77,1,1/22/15,L
4,REL 10948,Ara + 4,40000,Positive,69,79,71,84,1,1/22/15,L
5,REL 10948,Ara + 5,40000,Positive,87,61,76,61,1,1/22/15,L
6,Ara - 1,REL 11648,40000,Negative,40,74,75,30,1,1/22/15,L
7,Ara - 4,REL 11648,40000,Negative,43,77,86,61,1,1/22/15,L
8,Ara - 5,REL 11648,40000,Negative,73,79,36,47,1,1/22/15,L
9,Ara - 6,REL 11648,40000,Negative,75,77,102,69,1,1/22/15,L
10,REL 10948,Ara + 1,50000,Positive,80,53,94,55,1,1/22/15,L
11,REL 10948,Ara + 2,50000,Positive,48,48,37,99,1,1/22/15,L
12,REL 10948,Ara + 3,50000,Positive,74,31,22,37,1,1/22/15,L
13,REL 10948,Ara + 4,50000,Positive,64,56,57,31,1,1/22/15,L
14,REL 10948,Ara + 5,50000,Positive,70,60,91,74,1,1/22/15,L
15,Ara - 1,REL 11648,50000,Negative,35,87,75,36,1,1/22/15,L
16,Ara - 4,REL 11648,50000,Negative,31,76,61,30,1,1/22/15,L
17,Ara - 5,REL 11648,50000,Negative,57,75,81,128,1,1/22/15,L
18,Ara - 6,REL 11648,50000,Negative,79,72,119,52,1,1/22/15,L
19,REL 10948,Ara + 1,60000,Positive,84,86,77,69,1,1/22/15,L
20,REL 10948,Ara + 2,60000,Positive,77,22,33,105,1,1/22/15,L
21,REL 10948,Ara + 3,60000,Positive,81,38,8,74,1,1/22/15,L
22,REL 10948,Ara + 4,60000,Positive,87,45,45,81,1,1/22/15,L
23,REL 10948,Ara + 5,60000,Positive,93,56,58,57,1,1/22/15,L
24,Ara - 1,REL 11648,60000,Negative,47,101,66,28,1,1/22/15,L
25,Ara - 4,REL 11648,60000,Negative,50,78,106,22,1,1/22/15,L
26,Ara - 5,REL 11648,60000,Negative,58,83,83,63,1,1/22/15,L
27,Ara - 6,REL 11648,60000,Negative,69,76,104,53,1,1/22/15,L
1,REL 10948,Ara + 1,40000,Positive,56,96,76,61,1,1/27/15,M
2,REL 10948,Ara + 2,40000,Positive,73,59,75,81,1,1/27/15,M
3,REL 10948,Ara + 3,40000,Positive,71,51,36,95,1,1/27/15,M
4,REL 10948,Ara + 4,40000,Positive,63,58,75,75,1,1/27/15,M
5,REL 10948,Ara + 5,40000,Positive,73,53,83,59,1,1/27/15,M
6,Ara - 1,REL 11648,40000,Negative,63,76,56,76,1,1/27/15,M
7,Ara - 4,REL 11648,40000,Negative,57,71,94,64,1,1/27/15,M
8,Ara - 5,REL 11648,40000,Negative,78,78,79,75,1,1/27/15,M
9,Ara - 6,REL 11648,40000,Negative,67,67,115,90,1,1/27/15,M
10,REL 10948,Ara + 1,50000,Positive,78,84,91,81,1,1/27/15,M
11,REL 10948,Ara + 2,50000,Positive,92,54,54,84,1,1/27/15,M
12,REL 10948,Ara + 3,50000,Positive,88,35,22,64,1,1/27/15,M
13,REL 10948,Ara + 4,50000,Positive,76,47,65,45,1,1/27/15,M
14,REL 10948,Ara + 5,50000,Positive,52,49,64,57,1,1/27/15,M
15,Ara - 1,REL 11648,50000,Negative,55,85,49,37,1,1/27/15,M
16,Ara - 4,REL 11648,50000,Negative,53,66,77,27,1,1/27/15,M
17,Ara - 5,REL 11648,50000,Negative,44,67,64,55,1,1/27/15,M
18,Ara - 6,REL 11648,50000,Negative,75,70,104,55,1,1/27/15,M
19,REL 10948,Ara + 1,60000,Positive,56,90,82,68,1,1/27/15,M
20,REL 10948,Ara + 2,60000,Positive,69,32,44,103,1,1/27/15,M
21,REL 10948,Ara + 3,60000,Positive,66,41,18,73,1,1/27/15,M
22,REL 10948,Ara + 4,60000,Positive,72,46,56,75,1,1/27/15,M
23,REL 10948,Ara + 5,60000,Positive,65,61,54,75,1,1/27/15,M
24,Ara - 1,REL 11648,60000,Negative,44,88,80,45,1,1/27/15,M
25,Ara - 4,REL 11648,60000,Negative,0,4,92,46,1,1/27/15,M
26,Ara - 5,REL 11648,60000,Negative,47,64,112,58,1,1/27/15,M
27,Ara - 6,REL 11648,60000,Negative,57,68,86,48,1,1/27/15,M
1,REL 10948,Ara + 1,40000,Positive,74,79,80,57,1,1/27/15,N
2,REL 10948,Ara + 2,40000,Positive,72,80,44,77,1,1/27/15,N
3,REL 10948,Ara + 3,40000,Positive,75,48,13,65,1,1/27/15,N
4,REL 10948,Ara + 4,40000,Positive,82,66,57,46,1,1/27/15,N
5,REL 10948,Ara + 5,40000,Positive,89,60,71,81,1,1/27/15,N
6,Ara - 1,REL 11648,40000,Negative,75,60,107,39,1,1/27/15,N
7,Ara - 4,REL 11648,40000,Negative,51,66,83,43,1,1/27/15,N
8,Ara - 5,REL 11648,40000,Negative,79,85,80,86,1,1/27/15,N
9,Ara - 6,REL 11648,40000,Negative,76,65,111,67,1,1/27/15,N
10,REL 10948,Ara + 1,50000,Positive,48,68,85,99,1,1/27/15,N
11,REL 10948,Ara + 2,50000,Positive,71,48,48,84,1,1/27/15,N
12,REL 10948,Ara + 3,50000,Positive,71,30,24,75,1,1/27/15,N
13,REL 10948,Ara + 4,50000,Positive,84,45,66,44,1,1/27/15,N
14,REL 10948,Ara + 5,50000,Positive,71,50,47,59,1,1/27/15,N
15,Ara - 1,REL 11648,50000,Negative,47,73,84,31,1,1/27/15,N
16,Ara - 4,REL 11648,50000,Negative,36,68,99,47,1,1/27/15,N
17,Ara - 5,REL 11648,50000,Negative,66,62,72,41,1,1/27/15,N
18,Ara - 6,REL 11648,50000,Negative,89,57,91,37,1,1/27/15,N
19,REL 10948,Ara + 1,60000,Positive,65,100,90,60,1,1/27/15,N
20,REL 10948,Ara + 2,60000,Positive,66,55,42,103,1,1/27/15,N
21,REL 10948,Ara + 3,60000,Positive,67,32,20,74,1,1/27/15,N
22,REL 10948,Ara + 4,60000,Positive,66,48,50,89,1,1/27/15,N
23,REL 10948,Ara + 5,60000,Positive,66,47,53,63,1,1/27/15,N
24,Ara - 1,REL 11648,60000,Negative,37,54,56,30,1,1/27/15,N
25,Ara - 4,REL 11648,60000,Negative,48,57,74,16,1,1/27/15,N
26,Ara - 5,REL 11648,60000,Negative,44,47,99,64,1,1/27/15,N
27,Ara - 6,REL 11648,60000,Negative,69,69,109,43,1,1/27/15,N
1,REL 10948,Ara + 1,40000,Positive,67,72,94,60,1,1/27/15,O
2,REL 10948,Ara + 2,40000,Positive,70,72,77,88,1,1/27/15,O
3,REL 10948,Ara + 3,40000,Positive,83,44,,,1,1/27/15,O
4,REL 10948,Ara + 4,40000,Positive,54,70,93,76,1,1/27/15,O
5,REL 10948,Ara + 5,40000,Positive,62,54,82,65,1,1/27/15,O
6,Ara - 1,REL 11648,40000,Negative,65,44,99,46,1,1/27/15,O
7,Ara - 4,REL 11648,40000,Negative,46,71,99,46,1,1/27/15,O
8,Ara - 5,REL 11648,40000,Negative,77,64,77,73,1,1/27/15,O
9,Ara - 6,REL 11648,40000,Negative,77,74,123,82,1,1/27/15,O
10,REL 10948,Ara + 1,50000,Positive,68,76,71,62,1,1/27/15,O
11,REL 10948,Ara + 2,50000,Positive,76,45,47,75,1,1/27/15,O
12,REL 10948,Ara + 3,50000,Positive,71,32,13,49,1,1/27/15,O
13,REL 10948,Ara + 4,50000,Positive,71,41,87,38,1,1/27/15,O
14,REL 10948,Ara + 5,50000,Positive,71,52,90,59,1,1/27/15,O
15,Ara - 1,REL 11648,50000,Negative,47,67,68,31,1,1/27/15,O
16,Ara - 4,REL 11648,50000,Negative,42,70,80,40,1,1/27/15,O
17,Ara - 5,REL 11648,50000,Negative,59,93,54,62,1,1/27/15,O
18,Ara - 6,REL 11648,50000,Negative,92,61,118,52,1,1/27/15,O
19,REL 10948,Ara + 1,60000,Positive,88,98,105,68,1,1/27/15,O
20,REL 10948,Ara + 2,60000,Positive,64,45,24,64,1,1/27/15,O
21,REL 10948,Ara + 3,60000,Positive,74,26,23,61,1,1/27/15,O
22,REL 10948,Ara + 4,60000,Positive,70,54,32,70,1,1/27/15,O
23,REL 10948,Ara + 5,60000,Positive,67,39,44,60,1,1/27/15,O
24,Ara - 1,REL 11648,60000,Negative,32,61,50,31,1,1/27/15,O
25,Ara - 4,REL 11648,60000,Negative,48,74,63,24,1,1/27/15,O
26,Ara - 5,REL 11648,60000,Negative,77,82,67,49,1,1/27/15,O
27,Ara - 6,REL 11648,60000,Negative,53,90,69,36,1,1/27/15,O
1,REL 10948,Ara + 1,40000,Positive,72,76,97,36,1,2/3/15,P
2,REL 10948,Ara + 2,40000,Positive,77,76,49,61,1,2/3/15,P
3,REL 10948,Ara + 3,40000,Positive,75,64,27,76,1,2/3/15,P
4,REL 10948,Ara + 4,40000,Positive,92,100,75,60,1,2/3/15,P
5,REL 10948,Ara + 5,40000,Positive,92,72,79,47,1,2/3/15,P
6,Ara - 1,REL 11648,40000,Negative,63,74,42,91,1,2/3/15,P
7,Ara - 4,REL 11648,40000,Negative,48,80,93,55,1,2/3/15,P
8,Ara - 5,REL 11648,40000,Negative,73,67,72,49,1,2/3/15,P
9,Ara - 6,REL 11648,40000,Negative,91,64,82,73,1,2/3/15,P
10,REL 10948,Ara + 1,50000,Positive,63,71,93,49,1,2/3/15,P
11,REL 10948,Ara + 2,50000,Positive,65,59,48,79,1,2/3/15,P
12,REL 10948,Ara + 3,50000,Positive,87,36,15,60,1,2/3/15,P
13,REL 10948,Ara + 4,50000,Positive,87,45,72,53,1,2/3/15,P
14,REL 10948,Ara + 5,50000,Positive,76,53,91,56,1,2/3/15,P
15,Ara - 1,REL 11648,50000,Negative,40,75,98,36,1,2/3/15,P
16,Ara - 4,REL 11648,50000,Negative,61,86,66,34,1,2/3/15,P
17,Ara - 5,REL 11648,50000,Negative,48,85,67,74,1,2/3/15,P
18,Ara - 6,REL 11648,50000,Negative,82,70,93,53,1,2/3/15,P
19,REL 10948,Ara + 1,60000,Positive,82,74,69,68,1,2/3/15,P
20,REL 10948,Ara + 2,60000,Positive,78,61,35,74,1,2/3/15,P
21,REL 10948,Ara + 3,60000,Positive,79,35,16,45,1,2/3/15,P
22,REL 10948,Ara + 4,60000,Positive,75,41,42,87,1,2/3/15,P
23,REL 10948,Ara + 5,60000,Positive,81,51,36,57,1,2/3/15,P
24,Ara - 1,REL 11648,60000,Negative,33,79,82,32,1,2/3/15,P
25,Ara - 4,REL 11648,60000,Negative,47,73,39,27,1,2/3/15,P
26,Ara - 5,REL 11648,60000,Negative,78,74,76,42,1,2/3/15,P
27,Ara - 6,REL 11648,60000,Negative,77,74,82,46,1,2/3/15,P
1,REL 10948,Ara + 1,40000,Positive,81,85,73,39,1,2/3/15,Q
2,REL 10948,Ara + 2,40000,Positive,75,89,62,84,1,2/3/15,Q
3,REL 10948,Ara + 3,40000,Positive,74,67,31,79,1,2/3/15,Q
4,REL 10948,Ara + 4,40000,Positive,88,71,80,82,1,2/3/15,Q
5,REL 10948,Ara + 5,40000,Positive,84,61,74,52,1,2/3/15,Q
6,Ara - 1,REL 11648,40000,Negative,68,76,54,98,1,2/3/15,Q
7,Ara - 4,REL 11648,40000,Negative,52,85,99,35,1,2/3/15,Q
8,Ara - 5,REL 11648,40000,Negative,71,76,58,79,1,2/3/15,Q
9,Ara - 6,REL 11648,40000,Negative,60,77,66,74,1,2/3/15,Q
10,REL 10948,Ara + 1,50000,Positive,82,78,106,45,1,2/3/15,Q
11,REL 10948,Ara + 2,50000,Positive,78,74,58,127,1,2/3/15,Q
12,REL 10948,Ara + 3,50000,Positive,82,45,20,31,1,2/3/15,Q
13,REL 10948,Ara + 4,50000,Positive,80,53,77,61,1,2/3/15,Q
14,REL 10948,Ara + 5,50000,Positive,80,73,72,75,1,2/3/15,Q
15,Ara - 1,REL 11648,50000,Negative,56,78,83,65,1,2/3/15,Q
16,Ara - 4,REL 11648,50000,Negative,63,92,69,41,1,2/3/15,Q
17,Ara - 5,REL 11648,50000,Negative,68,89,94,72,1,2/3/15,Q
18,Ara - 6,REL 11648,50000,Negative,74,99,106,51,1,2/3/15,Q
19,REL 10948,Ara + 1,60000,Positive,64,92,120,66,1,2/3/15,Q
20,REL 10948,Ara + 2,60000,Positive,83,55,47,69,1,2/3/15,Q
21,REL 10948,Ara + 3,60000,Positive,69,39,22,90,1,2/3/15,Q
22,REL 10948,Ara + 4,60000,Positive,81,35,52,69,1,2/3/15,Q
23,REL 10948,Ara + 5,60000,Positive,82,54,39,59,1,2/3/15,Q
24,Ara - 1,REL 11648,60000,Negative,33,71,77,26,1,2/3/15,Q
25,Ara - 4,REL 11648,60000,Negative,51,93,87,30,1,2/3/15,Q
26,Ara - 5,REL 11648,60000,Negative,70,89,82,45,1,2/3/15,Q
27,Ara - 6,REL 11648,60000,Negative,60,82,84,43,1,2/3/15,Q
1,REL 10948,Ara + 1,40000,Positive,77,73,85,44,1,2/3/15,R
2,REL 10948,Ara + 2,40000,Positive,75,89,62,80,1,2/3/15,R
3,REL 10948,Ara + 3,40000,Positive,91,46,23,95,1,2/3/15,R
4,REL 10948,Ara + 4,40000,Positive,71,86,67,77,1,2/3/15,R
5,REL 10948,Ara + 5,40000,Positive,74,57,74,66,1,2/3/15,R
6,Ara - 1,REL 11648,40000,Negative,60,72,91,51,1,2/3/15,R
7,Ara - 4,REL 11648,40000,Negative,41,74,85,46,1,2/3/15,R
8,Ara - 5,REL 11648,40000,Negative,71,71,76,66,1,2/3/15,R
9,Ara - 6,REL 11648,40000,Negative,81,75,86,71,1,2/3/15,R
10,REL 10948,Ara + 1,50000,Positive,71,58,85,57,1,2/3/15,R
11,REL 10948,Ara + 2,50000,Positive,61,54,54,59,1,2/3/15,R
12,REL 10948,Ara + 3,50000,Positive,78,39,19,45,1,2/3/15,R
13,REL 10948,Ara + 4,50000,Positive,59,46,68,43,1,2/3/15,R
14,REL 10948,Ara + 5,50000,Positive,70,64,60,55,1,2/3/15,R
15,Ara - 1,REL 11648,50000,Negative,43,86,100,43,1,2/3/15,R
16,Ara - 4,REL 11648,50000,Negative,56,87,58,31,1,2/3/15,R
17,Ara - 5,REL 11648,50000,Negative,56,57,63,42,1,2/3/15,R
18,Ara - 6,REL 11648,50000,Negative,66,83,69,44,1,2/3/15,R
19,REL 10948,Ara + 1,60000,Positive,62,90,80,69,1,2/3/15,R
20,REL 10948,Ara + 2,60000,Positive,66,66,23,65,1,2/3/15,R
21,REL 10948,Ara + 3,60000,Positive,78,35,17,67,1,2/3/15,R
22,REL 10948,Ara + 4,60000,Positive,77,47,48,86,1,2/3/15,R
23,REL 10948,Ara + 5,60000,Positive,102,49,36,54,1,2/3/15,R
24,Ara - 1,REL 11648,60000,Negative,26,87,65,26,1,2/3/15,R
25,Ara - 4,REL 11648,60000,Negative,46,72,70,33,1,2/3/15,R
26,Ara - 5,REL 11648,60000,Negative,66,80,62,35,1,2/3/15,R
27,Ara - 6,REL 11648,60000,Negative,66,89,74,50,1,2/3/15,R
1,REL 10948,Ara + 1,40000,Positive,50,57,97,43,1,2/10/15,S
2,REL 10948,Ara + 2,40000,Positive,61,58,52,66,1,2/10/15,S
3,REL 10948,Ara + 3,40000,Positive,55,35,28,38,1,2/10/15,S
4,REL 10948,Ara + 4,40000,Positive,55,53,90,66,1,2/10/15,S
5,REL 10948,Ara + 5,40000,Positive,66,40,63,55,1,2/10/15,S
6,Ara - 1,REL 11648,40000,Negative,43,58,85,58,1,2/10/15,S
7,Ara - 4,REL 11648,40000,Negative,43,67,108,72,1,2/10/15,S
8,Ara - 5,REL 11648,40000,Negative,56,53,71,63,1,2/10/15,S
9,Ara - 6,REL 11648,40000,Negative,69,63,89,81,1,2/10/15,S
10,REL 10948,Ara + 1,50000,Positive,57,61,80,39,1,2/10/15,S
11,REL 10948,Ara + 2,50000,Positive,65,36,41,8,1,2/10/15,S
12,REL 10948,Ara + 3,50000,Positive,64,31,23,76,1,2/10/15,S
13,REL 10948,Ara + 4,50000,Positive,51,41,81,30,1,2/10/15,S
14,REL 10948,Ara + 5,50000,Positive,43,36,72,57,1,2/10/15,S
15,Ara - 1,REL 11648,50000,Negative,36,63,52,38,1,2/10/15,S
16,Ara - 4,REL 11648,50000,Negative,37,79,70,49,1,2/10/15,S
17,Ara - 5,REL 11648,50000,Negative,57,63,70,75,1,2/10/15,S
18,Ara - 6,REL 11648,50000,Negative,60,63,98,54,1,2/10/15,S
19,REL 10948,Ara + 1,60000,Positive,62,75,104,70,1,2/10/15,S
20,REL 10948,Ara + 2,60000,Positive,43,12,44,104,1,2/10/15,S
21,REL 10948,Ara + 3,60000,Positive,73,26,20,67,1,2/10/15,S
22,REL 10948,Ara + 4,60000,Positive,39,32,48,89,1,2/10/15,S
23,REL 10948,Ara + 5,60000,Positive,59,51,58,93,1,2/10/15,S
24,Ara - 1,REL 11648,60000,Negative,29,70,82,27,1,2/10/15,S
25,Ara - 4,REL 11648,60000,Negative,35,84,72,28,1,2/10/15,S
26,Ara - 5,REL 11648,60000,Negative,40,78,85,39,1,2/10/15,S
27,Ara - 6,REL 11648,60000,Negative,53,83,84,77,1,2/10/15,S
1,REL 10948,Ara + 1,40000,Positive,60,66,80,55,1,2/10/15,T
2,REL 10948,Ara + 2,40000,Positive,66,63,46,41,1,2/10/15,T
3,REL 10948,Ara + 3,40000,Positive,76,55,22,69,1,2/10/15,T
4,REL 10948,Ara + 4,40000,Positive,56,43,53,51,1,2/10/15,T
5,REL 10948,Ara + 5,40000,Positive,48,58,75,60,1,2/10/15,T
6,Ara - 1,REL 11648,40000,Negative,65,76,78,31,1,2/10/15,T
7,Ara - 4,REL 11648,40000,Negative,53,66,58,38,1,2/10/15,T
8,Ara - 5,REL 11648,40000,Negative,75,58,59,57,1,2/10/15,T
9,Ara - 6,REL 11648,40000,Negative,77,64,69,44,1,2/10/15,T
10,REL 10948,Ara + 1,50000,Positive,61,61,88,31,1,2/10/15,T
11,REL 10948,Ara + 2,50000,Positive,40,28,49,6,1,2/10/15,T
12,REL 10948,Ara + 3,50000,Positive,67,31,29,53,1,2/10/15,T
13,REL 10948,Ara + 4,50000,Positive,56,35,51,41,1,2/10/15,T
14,REL 10948,Ara + 5,50000,Positive,63,44,51,56,1,2/10/15,T
15,Ara - 1,REL 11648,50000,Negative,37,56,68,33,1,2/10/15,T
16,Ara - 4,REL 11648,50000,Negative,58,68,22,92,1,2/10/15,T
17,Ara - 5,REL 11648,50000,Negative,49,77,56,54,1,2/10/15,T
18,Ara - 6,REL 11648,50000,Negative,71,60,80,55,1,2/10/15,T
19,REL 10948,Ara + 1,60000,Positive,67,62,80,55,1,2/10/15,T
20,REL 10948,Ara + 2,60000,Positive,55,34,22,70,1,2/10/15,T
21,REL 10948,Ara + 3,60000,Positive,67,37,27,67,1,2/10/15,T
22,REL 10948,Ara + 4,60000,Positive,42,61,34,67,1,2/10/15,T
23,REL 10948,Ara + 5,60000,Positive,74,38,45,57,1,2/10/15,T
24,Ara - 1,REL 11648,60000,Negative,34,59,60,22,1,2/10/15,T
25,Ara - 4,REL 11648,60000,Negative,49,67,71,33,1,2/10/15,T
26,Ara - 5,REL 11648,60000,Negative,52,64,74,57,1,2/10/15,T
27,Ara - 6,REL 11648,60000,Negative,41,77,75,31,1,2/10/15,T
1,REL 10948,Ara + 1,40000,Positive,63,71,83,65,1,2/10/15,U
2,REL 10948,Ara + 2,40000,Positive,76,56,54,80,1,2/10/15,U
3,REL 10948,Ara + 3,40000,Positive,70,59,28,90,1,2/10/15,U
4,REL 10948,Ara + 4,40000,Positive,75,52,79,71,1,2/10/15,U
5,REL 10948,Ara + 5,40000,Positive,51,45,111,51,1,2/10/15,U
6,Ara - 1,REL 11648,40000,Negative,53,80,99,54,1,2/10/15,U
7,Ara - 4,REL 11648,40000,Negative,47,67,66,55,1,2/10/15,U
8,Ara - 5,REL 11648,40000,Negative,65,51,65,75,1,2/10/15,U
9,Ara - 6,REL 11648,40000,Negative,66,65,93,66,1,2/10/15,U
10,REL 10948,Ara + 1,50000,Positive,50,58,129,40,1,2/10/15,U
11,REL 10948,Ara + 2,50000,Positive,51,36,50,10,1,2/10/15,U
12,REL 10948,Ara + 3,50000,Positive,71,29,16,53,1,2/10/15,U
13,REL 10948,Ara + 4,50000,Positive,62,36,78,41,1,2/10/15,U
14,REL 10948,Ara + 5,50000,Positive,107,43,59,38,1,2/10/15,U
15,Ara - 1,REL 11648,50000,Negative,28,74,63,39,1,2/10/15,U
16,Ara - 4,REL 11648,50000,Negative,51,67,12,129,1,2/10/15,U
17,Ara - 5,REL 11648,50000,Negative,40,63,60,68,1,2/10/15,U
18,Ara - 6,REL 11648,50000,Negative,47,80,96,45,1,2/10/15,U
19,REL 10948,Ara + 1,60000,Positive,50,55,90,63,1,2/10/15,U
20,REL 10948,Ara + 2,60000,Positive,67,47,30,46,1,2/10/15,U
21,REL 10948,Ara + 3,60000,Positive,66,40,19,54,1,2/10/15,U
22,REL 10948,Ara + 4,60000,Positive,48,44,57,85,1,2/10/15,U
23,REL 10948,Ara + 5,60000,Positive,48,46,61,64,1,2/10/15,U
24,Ara - 1,REL 11648,60000,Negative,17,50,35,33,1,2/10/15,U
25,Ara - 4,REL 11648,60000,Negative,40,64,72,30,1,2/10/15,U
26,Ara - 5,REL 11648,60000,Negative,59,51,79,58,1,2/10/15,U
27,Ara - 6,REL 11648,60000,Negative,50,69,77,47,1,2/10/15,U